date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff
2014-06-15,World Cup,Argentina,Bosnia-Herzegovina,2,1,1,True,1
2014-06-16,World Cup,Germany,Portugal,4,0,1,True,4
2014-06-16,World Cup,Iran,Nigeria,0,0,0,True,0
2014-06-16,World Cup,Ghana,United States,1,2,-1,True,1
2014-06-17,World Cup,Russia,South Korea,1,1,0,True,0
2014-06-17,World Cup,Belgium,Algeria,2,1,1,True,1
2014-06-17,World Cup,Brazil,Mexico,0,0,0,True,0
2014-06-18,World Cup,Australia,Netherlands,2,3,-1,True,1
2014-06-18,World Cup,Spain,Chile,0,2,-1,True,2
2014-06-18,World Cup,Cameroon,Croatia,0,4,-1,True,4
2014-06-19,World Cup,Japan,Greece,0,0,0,True,0
2014-06-19,World Cup,Uruguay,England,2,1,1,True,1
2014-06-19,World Cup,Colombia,Ivory Coast,2,1,1,True,1
2014-06-20,World Cup,Italy,Costa Rica,0,1,-1,True,1
2014-06-20,World Cup,Switzerland,France,2,5,-1,True,3
2014-06-20,World Cup,Honduras,Ecuador,1,2,-1,True,1
2014-06-21,World Cup,Argentina,Iran,1,0,1,True,1
2014-06-21,World Cup,Nigeria,Bosnia-Herzegovina,1,0,1,True,1
2014-06-21,World Cup,Germany,Ghana,2,2,0,True,0
2014-06-22,World Cup,United States,Portugal,2,2,0,True,0
2014-06-22,World Cup,South Korea,Algeria,2,4,-1,True,2
2014-06-22,World Cup,Belgium,Russia,1,0,1,True,1
2014-06-23,World Cup,Cameroon,Brazil,1,4,-1,True,3
2014-06-23,World Cup,Netherlands,Chile,2,0,1,True,2
2014-06-23,World Cup,Australia,Spain,0,3,-1,True,3
2014-06-23,World Cup,Croatia,Mexico,1,3,-1,True,2
2014-06-24,World Cup,Greece,Ivory Coast,2,1,1,True,1
2014-06-24,World Cup,Costa Rica,England,0,0,0,True,0
2014-06-24,World Cup,Japan,Colombia,1,4,-1,True,3
2014-06-24,World Cup,Italy,Uruguay,0,1,-1,True,1
2014-06-25,World Cup,Bosnia-Herzegovina,Iran,3,1,1,True,2
2014-06-25,World Cup,Nigeria,Argentina,2,3,-1,True,1
2014-06-25,World Cup,Ecuador,France,0,0,0,True,0
2014-06-25,World Cup,Honduras,Switzerland,0,3,-1,True,3
2014-06-26,World Cup,Portugal,Ghana,2,1,1,True,1
2014-06-26,World Cup,United States,Germany,0,1,-1,True,1
2014-06-26,World Cup,Algeria,Russia,1,1,0,True,0
2014-06-26,World Cup,South Korea,Belgium,0,1,-1,True,1
2014-06-28,World Cup,Brazil,Chile,1,1,0,True,0
2014-06-28,World Cup,Colombia,Uruguay,2,0,1,True,2
2014-06-29,World Cup,Netherlands,Mexico,2,1,1,True,1
2014-06-29,World Cup,Costa Rica,Greece,1,1,0,True,0
2014-06-30,World Cup,France,Nigeria,2,0,1,True,2
2014-06-30,World Cup,Germany,Algeria,2,1,1,True,1
2014-07-01,World Cup,Argentina,Switzerland,1,0,1,True,1
2014-07-01,World Cup,Belgium,United States,2,1,1,True,1
2014-07-04,World Cup,France,Germany,0,1,-1,True,1
2014-07-04,World Cup,Brazil,Colombia,2,1,1,True,1
2014-07-05,World Cup,Argentina,Belgium,1,0,1,True,1
2014-07-05,World Cup,Netherlands,Costa Rica,0,0,0,True,0
2014-07-08,World Cup,Brazil,Germany,1,7,-1,True,6
2014-07-09,World Cup,Netherlands,Argentina,0,0,0,True,0
2014-07-12,World Cup,Brazil,Netherlands,0,3,-1,True,3
2014-07-13,World Cup,Germany,Argentina,1,0,1,True,1
2016-06-10,UEFA Euro,France,Romania,2,1,1,True,1
2016-06-11,UEFA Euro,Albania,Switzerland,0,1,-1,True,1
2016-06-11,UEFA Euro,Wales,Slovakia,2,1,1,True,1
2016-06-11,UEFA Euro,England,Russia,1,1,0,True,0
2016-06-12,UEFA Euro,Türkiye,Croatia,0,1,-1,True,1
2016-06-12,UEFA Euro,Poland,Northern Ireland,1,0,1,True,1
2016-06-12,UEFA Euro,Germany,Ukraine,2,0,1,True,2
2016-06-13,UEFA Euro,Spain,Czechia,1,0,1,True,1
2016-06-13,UEFA Euro,Republic of Ireland,Sweden,1,1,0,True,0
2016-06-13,UEFA Euro,Belgium,Italy,0,2,-1,True,2
2016-06-14,UEFA Euro,Austria,Hungary,0,2,-1,True,2
2016-06-14,UEFA Euro,Portugal,Iceland,1,1,0,True,0
2016-06-15,UEFA Euro,Russia,Slovakia,1,2,-1,True,1
2016-06-15,UEFA Euro,France,Albania,2,0,1,True,2
2016-06-15,UEFA Euro,Romania,Switzerland,1,1,0,True,0
2016-06-16,UEFA Euro,Ukraine,Northern Ireland,0,2,-1,True,2
2016-06-16,UEFA Euro,England,Wales,2,1,1,True,1
2016-06-16,UEFA Euro,Germany,Poland,0,0,0,True,0
2016-06-17,UEFA Euro,Czechia,Croatia,2,2,0,True,0
2016-06-17,UEFA Euro,Spain,Türkiye,3,0,1,True,3
2016-06-17,UEFA Euro,Italy,Sweden,1,0,1,True,1
2016-06-18,UEFA Euro,Belgium,Republic of Ireland,3,0,1,True,3
2016-06-18,UEFA Euro,Iceland,Hungary,1,1,0,True,0
2016-06-18,UEFA Euro,Portugal,Austria,0,0,0,True,0
2016-06-19,UEFA Euro,Switzerland,France,0,0,0,True,0
2016-06-19,UEFA Euro,Romania,Albania,0,1,-1,True,1
2016-06-20,UEFA Euro,Slovakia,England,0,0,0,True,0
2016-06-20,UEFA Euro,Russia,Wales,0,3,-1,True,3
2016-06-21,UEFA Euro,Northern Ireland,Germany,0,1,-1,True,1
2016-06-21,UEFA Euro,Czechia,Türkiye,0,2,-1,True,2
2016-06-21,UEFA Euro,Ukraine,Poland,0,1,-1,True,1
2016-06-21,UEFA Euro,Croatia,Spain,2,1,1,True,1
2016-06-22,UEFA Euro,Hungary,Portugal,3,3,0,True,0
2016-06-22,UEFA Euro,Iceland,Austria,2,1,1,True,1
2016-06-22,UEFA Euro,Italy,Republic of Ireland,0,1,-1,True,1
2016-06-22,UEFA Euro,Sweden,Belgium,0,1,-1,True,1
2016-06-25,UEFA Euro,Switzerland,Poland,1,1,0,True,0
2016-06-25,UEFA Euro,Wales,Northern Ireland,1,0,1,True,1
2016-06-25,UEFA Euro,Croatia,Portugal,0,1,-1,True,1
2016-06-26,UEFA Euro,Hungary,Belgium,0,4,-1,True,4
