date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff,home_elo_pre,away_elo_pre,elo_diff,home_win_pct_10g,home_gf_avg_10g,home_ga_avg_10g,home_gd_avg_10g,away_win_pct_10g,away_gf_avg_10g,away_ga_avg_10g,away_gd_avg_10g,gd_diff_10g,win_pct_diff_10g,result_class
2006-06-27,World Cup,Brazil,Ghana,3,0,1,True,3,2190.9,1861.0,329.9000000000001,1.0,2.5,0.5,2.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,0.33333333333333337,2
2006-06-30,World Cup,Italy,Ukraine,3,0,1,True,3,1966.1,1825.1,141.0,0.5,1.375,0.75,0.625,0.5,1.25,1.0,0.25,0.375,0.0,2
2006-06-30,World Cup,Germany,Argentina,1,1,0,True,0,2115.9,2013.3,102.60000000000014,0.8,1.6,0.5,1.1,0.5714285714285714,1.7142857142857142,0.5714285714285714,1.1428571428571428,-0.042857142857142705,0.22857142857142865,1
2006-07-01,World Cup,England,Portugal,0,0,0,True,0,2035.5,1997.9,37.59999999999991,0.5555555555555556,1.3333333333333333,0.5555555555555556,0.7777777777777778,0.7142857142857143,1.7142857142857142,0.7142857142857143,1.0,-0.2222222222222222,-0.15873015873015872,1
2006-07-01,World Cup,Brazil,France,0,1,-1,True,1,2204.5,1981.1,223.4000000000001,1.0,2.6,0.4,2.2,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.14285714285714285,2.0571428571428574,0.7142857142857143,0
2006-07-04,World Cup,Germany,Italy,0,2,-1,True,2,2107.3,1998.4,108.90000000000009,0.8,1.6,0.5,1.1,0.5555555555555556,1.5555555555555556,0.6666666666666666,0.8888888888888888,0.21111111111111125,0.24444444444444446,0
2006-07-05,World Cup,Portugal,France,0,1,-1,True,1,2001.1,2028.1,-27.0,0.625,1.5,0.625,0.875,0.375,0.875,0.625,0.25,0.625,0.25,0
2006-07-08,World Cup,Germany,Portugal,3,1,1,True,2,2068.2,1973.4,94.79999999999973,0.7,1.4,0.7,0.7,0.5555555555555556,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.033333333333333326,0.14444444444444438,2
2006-07-09,World Cup,Italy,France,1,1,0,True,0,2057.1,2055.8,1.2999999999997272,0.6,1.6,0.6,1.0,0.4444444444444444,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.6666666666666667,0.15555555555555556,1
2010-06-11,World Cup,South Africa,Mexico,1,1,0,True,0,1768.8,1842.4,-73.60000000000014,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.375,1.125,1.125,0.0,0.0,-0.041666666666666685,1
2010-06-11,World Cup,Uruguay,France,0,0,0,True,0,1857.3,2055.9,-198.60000000000014,0.0,1.3333333333333333,1.6666666666666667,-0.3333333333333333,0.4,0.9,0.6,0.3,-0.6333333333333333,-0.4,1
2010-06-12,World Cup,England,United States,1,1,0,True,0,2032.2,1769.7,262.5,0.5,1.2,0.5,0.7,0.25,1.125,1.625,-0.5,1.2,0.25,1
2010-06-12,World Cup,South Korea,Greece,2,0,1,True,2,1862.3,1750.0,112.29999999999995,0.4,1.1,1.0,0.1,,,,,,,2
2010-06-12,World Cup,Argentina,Nigeria,1,0,1,True,1,2021.9,1786.3,235.60000000000014,0.5,1.625,0.625,1.0,0.0,0.3333333333333333,1.0,-0.6666666666666666,1.6666666666666665,0.5,2
2010-06-13,World Cup,Algeria,Slovenia,0,1,-1,True,1,1800.0,1683.2,116.79999999999995,,,,,0.0,0.6666666666666666,2.3333333333333335,-1.6666666666666667,,,0
2010-06-13,World Cup,Serbia,Ghana,0,1,-1,True,1,1830.0,1853.2,-23.200000000000045,,,,,0.5,1.0,1.5,-0.5,,,0
2010-06-13,World Cup,Germany,Australia,4,0,1,True,4,2101.2,1821.7,279.4999999999998,0.7,1.6,0.8,0.8,0.25,1.25,1.5,-0.25,1.05,0.44999999999999996,2
2010-06-14,World Cup,Netherlands,Denmark,2,0,1,True,2,1940.5,1913.6,26.90000000000009,0.5,0.75,0.5,0.25,0.5,1.25,1.25,0.0,0.25,0.0,2
2010-06-14,World Cup,Japan,Cameroon,1,0,1,True,1,1813.1,1806.3,6.7999999999999545,0.2857142857142857,1.0,1.4285714285714286,-0.42857142857142855,0.3333333333333333,0.6666666666666666,1.0,-0.3333333333333333,-0.09523809523809523,-0.047619047619047616,2
2010-06-14,World Cup,Italy,Paraguay,1,1,0,True,0,2057.0,1800.1,256.9000000000001,0.5,1.5,0.7,0.8,0.2857142857142857,1.1428571428571428,1.2857142857142858,-0.14285714285714285,0.9428571428571428,0.2142857142857143,1
2010-06-15,World Cup,Brazil,North Korea,2,1,1,True,1,2157.5,1750.0,407.5,0.9,2.2,0.5,1.7,,,,,,,2
2010-06-15,World Cup,New Zealand,Slovakia,1,1,0,True,0,1750.0,1790.0,-40.0,,,,,,,,,,,1
2010-06-15,World Cup,Ivory Coast,Portugal,0,0,0,True,0,1752.7,1951.4,-198.70000000000005,0.3333333333333333,1.6666666666666667,2.0,-0.3333333333333333,0.5,1.3,0.9,0.4,-0.7333333333333334,-0.16666666666666669,1
2010-06-16,World Cup,Honduras,Chile,0,1,-1,True,1,1770.0,1840.0,-70.0,,,,,,,,,,,0
2010-06-16,World Cup,South Africa,Uruguay,0,3,-1,True,3,1775.1,1872.8,-97.70000000000005,0.25,1.5,1.5,0.0,0.0,1.0,1.25,-0.25,0.25,0.25,0
2010-06-16,World Cup,Spain,Switzerland,0,1,-1,True,1,1999.0,1920.8,78.20000000000005,0.6666666666666666,2.111111111111111,1.0,1.1111111111111112,0.5,1.0,0.0,1.0,0.11111111111111116,0.16666666666666663,0
2010-06-17,World Cup,Greece,Nigeria,2,1,1,True,1,1729.4,1774.0,-44.59999999999991,,,,,0.0,0.25,1.0,-0.75,,,2
2010-06-17,World Cup,France,Mexico,0,2,-1,True,2,2040.4,1836.2,204.20000000000005,0.4,0.9,0.5,0.4,0.3333333333333333,1.1111111111111112,1.1111111111111112,0.0,0.4,0.06666666666666671,0
2010-06-17,World Cup,Argentina,South Korea,4,1,1,True,3,2034.2,1893.3,140.9000000000001,0.5555555555555556,1.5555555555555556,0.5555555555555556,1.0,0.4,1.1,1.0,0.1,0.9,0.15555555555555556,2
2010-06-18,World Cup,Germany,Serbia,0,1,-1,True,1,2120.0,1802.0,318.0,0.7,1.9,0.8,1.1,,,,,,,0
2010-06-18,World Cup,Slovenia,United States,2,2,0,True,0,1722.9,1788.8,-65.89999999999986,0.25,0.75,1.75,-1.0,0.2222222222222222,1.1111111111111112,1.5555555555555556,-0.4444444444444444,-0.5555555555555556,0.02777777777777779,1
2010-06-18,World Cup,England,Algeria,0,0,0,True,0,2013.1,1760.3,252.79999999999995,0.5,1.2,0.5,0.7,,,,,,,1
2010-06-19,World Cup,Netherlands,Japan,1,0,1,True,1,1982.0,1842.5,139.5,0.6,1.0,0.4,0.6,0.375,1.0,1.25,-0.25,0.85,0.22499999999999998,2
