Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Hunter Stratton,29,34,Maj-NL,Atlanta,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,3,0,0,0,1,0,0,0,0,3,12,0.75,0.08,0.08,0.5,0.5,0.0,1.0,0.5,9.0,,676702
Spencer Strider,27,5,Maj-NL,Atlanta,6,6,3.0,1.0,,31.0,22,14,13,17,40,6,0,3.77,109,5,1,0,2,1,4,2,1,127,539,0.62,0.17,0.13,0.33,0.19,0.09,1.258,0.25,11.6,2.35,675911
Kade Strowd,28,0,Maj-NL,Arizona,1,0,,,,1.0,1,1,1,3,1,0,0,9.0,4,0,0,0,0,0,0,0,0,7,32,0.38,0.13,0.0,0.0,0.67,0.0,4.0,0.333,9.0,0.33,669704
Garrett Stubbs,33,29,Maj-NL,Philadelphia,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,5,0.6,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,,596117
Albert Su\xc3\xa1rez,36,2,Maj-AL,Baltimore,9,0,2.0,,1.0,22.2,22,16,11,11,12,3,0,4.37,88,6,1,0,0,1,1,2,0,100,372,0.59,0.14,0.09,0.29,0.29,0.12,1.456,0.257,4.8,1.09,544150
Jos\xc3\xa9 Suarez,28,2,"Maj-AL,Maj-NL","Athletics,Atlanta,Seattle",18,1,,1.0,1.0,29.1,38,17,17,16,34,1,2,5.22,118,8,0,1,3,1,0,1,0,139,554,0.63,0.13,0.13,0.41,0.33,0.08,1.841,0.44,10.4,2.13,660761
Ranger Suarez,30,5,Maj-AL,Boston,11,11,2.0,3.0,,58.2,49,22,22,19,57,4,2,3.38,216,12,1,0,5,1,2,0,1,238,916,0.63,0.17,0.1,0.41,0.29,0.07,1.159,0.288,8.7,3.0,624133
Robert Suarez,35,0,Maj-NL,Atlanta,28,0,4.0,,4.0,28.2,19,2,2,5,25,1,0,0.63,102,1,0,0,4,0,3,0,0,108,417,0.66,0.12,0.13,0.47,0.21,0.08,0.837,0.237,7.8,5.0,663158
Tomoyuki Sugano,36,3,Maj-NL,Colorado,12,12,5.0,4.0,,63.1,62,28,28,18,36,11,2,3.98,241,21,0,0,3,4,8,2,1,265,1020,0.62,0.16,0.07,0.39,0.26,0.04,1.263,0.258,5.1,2.0,608372
Brett Sullivan,32,5,Maj-NL,Colorado,4,0,,,,4.1,6,2,2,1,1,1,0,4.15,18,1,0,0,1,0,0,0,0,19,59,0.68,0.24,0.0,0.47,0.29,0.0,1.615,0.313,2.1,1.0,664954
Cole Sulser,36,0,Maj-AL,Tampa Bay,21,1,1.0,,2.0,24.1,28,15,13,9,20,2,0,4.81,97,9,0,2,0,1,2,1,0,109,429,0.61,0.12,0.11,0.41,0.19,0.1,1.521,0.342,7.4,2.22,642121
Brent Suter,36,4,Maj-AL,Los Angeles,23,2,1.0,2.0,,33.0,31,19,17,12,28,3,0,4.64,122,5,3,1,2,0,2,2,4,135,548,0.66,0.18,0.09,0.49,0.22,0.08,1.303,0.308,7.6,2.33,608718
Matt Svanson,27,13,Maj-NL,St. Louis,24,0,1.0,1.0,,25.2,35,25,25,15,26,5,1,8.77,110,6,0,0,2,0,1,0,0,126,481,0.62,0.14,0.08,0.44,0.23,0.08,1.948,0.38,9.1,1.73,694335
Jameson Taillon,34,3,Maj-NL,Chicago,12,12,2.0,5.0,,66.2,63,39,38,21,57,20,2,5.13,257,8,0,1,4,0,7,2,0,280,1094,0.64,0.16,0.12,0.35,0.2,0.07,1.26,0.239,7.7,2.71,592791
Grant Taylor,24,2,Maj-AL,Chicago,24,4,1.0,,1.0,31.2,25,10,7,9,47,1,0,1.99,119,7,0,0,1,1,2,0,0,129,545,0.68,0.19,0.13,0.38,0.26,0.04,1.074,0.333,13.4,5.22,691799
Kai-Wei Teng,27,1,Maj-AL,Houston,19,6,3.0,4.0,,47.0,34,17,16,21,44,6,2,3.06,167,6,1,0,4,0,0,1,1,190,759,0.63,0.19,0.11,0.45,0.24,0.07,1.17,0.239,8.4,2.1,678906
Caleb Thielbar,39,0,Maj-NL,Chicago,17,0,2.0,2.0,2.0,14.1,12,7,6,8,15,3,0,3.77,54,1,0,1,0,0,2,0,0,63,273,0.64,0.12,0.11,0.35,0.15,0.13,1.395,0.25,9.4,1.88,573204
Keegan Thompson,31,2,Maj-NL,Colorado,4,0,,,,8.1,13,7,7,2,8,1,0,7.56,36,4,0,0,0,1,0,0,0,40,148,0.64,0.15,0.13,0.23,0.3,0.1,1.8,0.429,8.6,4.0,624522
Ryan Thompson,34,2,Maj-NL,Arizona,26,0,2.0,1.0,,21.1,19,7,6,7,14,2,1,2.53,81,6,0,1,1,0,3,1,1,89,320,0.66,0.17,0.08,0.46,0.25,0.09,1.219,0.262,5.9,2.0,657044
Trent Thornton,32,1,Maj-NL,Chicago,11,0,2.0,1.0,,15.0,9,3,3,6,6,2,0,1.8,51,2,0,1,2,0,1,0,0,58,220,0.62,0.14,0.1,0.57,0.2,0.09,1.0,0.163,3.6,1.0,663423
Zach Thornton,24,16,Maj-NL,New York,1,1,,1.0,,4.1,4,4,4,2,3,1,0,8.31,17,1,0,0,0,0,1,0,0,19,80,0.66,0.18,0.08,0.43,0.14,0.0,1.385,0.231,6.2,1.5,804267
Blade Tidwell,25,38,Maj-NL,San Francisco,8,0,,,1.0,12.0,10,4,4,3,10,1,1,3.0,43,1,0,0,2,0,3,0,0,47,182,0.63,0.15,0.13,0.36,0.24,0.24,1.083,0.281,7.5,3.33,694918
Tyler Tolbert,28,10,Maj-AL,Kansas City,2,0,,,,1.2,4,2,2,1,0,1,0,10.8,8,0,0,0,1,0,0,0,0,9,35,0.57,0.23,0.0,0.5,0.25,0.0,3.0,0.429,0.0,0.0,686475
Payton Tolle,23,2,Maj-AL,Boston,8,8,3.0,2.0,,47.1,33,16,12,13,51,3,1,2.28,172,8,0,0,0,0,1,2,2,187,688,0.69,0.13,0.14,0.34,0.2,0.15,0.972,0.254,9.7,3.92,801139
Jonah Tong,23,3,Maj-NL,New York,3,0,1.0,1.0,,10.0,8,6,4,7,7,1,0,3.6,39,0,0,0,1,1,0,0,0,47,187,0.61,0.11,0.11,0.45,0.12,0.03,1.5,0.219,6.3,1.0,804636
Justin Topa,35,18,Maj-AL,Minnesota,23,0,,1.0,2.0,19.0,27,18,17,11,12,4,1,8.05,78,3,0,0,5,2,3,0,1,92,359,0.61,0.17,0.05,0.57,0.18,0.01,2.0,0.359,5.7,1.09,623437
Blake Treinen,38,0,Maj-NL,Los Angeles,24,0,3.0,1.0,1.0,18.1,16,6,6,7,18,2,1,2.95,70,6,0,2,1,0,5,0,0,78,283,0.65,0.17,0.13,0.54,0.15,0.02,1.255,0.28,8.8,2.57,595014
Jose Trevino,33,28,Maj-NL,Cincinnati,4,0,,,,5.0,14,8,8,1,1,0,1,14.4,27,2,0,0,2,0,0,0,0,29,72,0.61,0.11,0.01,0.38,0.42,0.0,3.0,0.538,1.8,1.0,624431
Lou Trivino,34,27,Maj-AL,Baltimore,2,0,,,,3.0,6,6,6,3,3,0,0,18.0,15,1,1,0,0,0,1,0,0,18,62,0.6,0.13,0.13,0.33,0.42,0.0,3.0,0.5,9.0,1.0,642152
Tyler Uberstine,27,61,Maj-AL,Boston,1,0,,1.0,,2.2,3,1,1,1,2,1,0,3.38,10,1,0,0,1,0,0,0,0,11,45,0.76,0.18,0.18,0.13,0.38,0.0,1.5,0.286,6.8,2.0,700413
Walbert Ure\xc3\xb1a,22,2,Maj-AL,Los Angeles,11,9,3.0,4.0,,50.1,39,21,15,28,48,4,2,2.68,186,9,0,1,5,2,3,1,0,218,860,0.6,0.15,0.12,0.52,0.19,0.06,1.331,0.257,8.6,1.71,700712
Abner Uribe,26,3,Maj-NL,Milwaukee,24,0,3.0,2.0,5.0,22.1,19,10,10,9,23,2,0,4.03,85,2,0,1,2,0,0,0,1,95,363,0.64,0.23,0.08,0.49,0.25,0.1,1.254,0.283,9.3,2.56,682842
Jos\xc3\xa9 Urquidy,31,53,Maj-NL,Pittsburgh,5,0,,1.0,1.0,6.1,15,10,6,2,6,1,0,8.53,34,4,0,0,1,0,3,0,0,36,131,0.73,0.17,0.12,0.46,0.29,0.07,2.684,0.519,8.5,3.0,664353
Framber Valdez,32,0,Maj-AL,Detroit,13,13,3.0,4.0,,72.2,69,38,34,27,59,7,6,4.21,282,11,1,0,6,2,11,0,1,317,1173,0.65,0.18,0.09,0.49,0.23,0.03,1.321,0.284,7.3,2.19,664285
Ricky Vanasco,27,8,Maj-AL,Detroit,5,0,,1.0,,6.1,14,12,11,6,4,2,0,15.63,34,4,0,0,0,0,0,1,1,40,170,0.6,0.2,0.05,0.43,0.2,0.07,3.158,0.429,5.7,0.67,676568
Logan VanWey,27,6,Maj-AL,Houston,3,0,,,,3.0,1,0,0,0,5,0,0,0.0,10,0,0,0,0,0,0,0,0,10,41,0.76,0.29,0.15,0.2,0.4,0.2,0.333,0.2,15.0,,701121
Gus Varland,29,2,Maj-NL,Washington,24,0,1.0,1.0,4.0,22.2,26,12,11,11,20,1,0,4.37,89,7,1,1,1,3,5,0,1,104,384,0.66,0.16,0.11,0.29,0.36,0.1,1.632,0.352,7.9,1.82,681402
Louis Varland,28,1,Maj-AL,Toronto,29,0,2.0,1.0,9.0,32.1,23,6,1,9,43,0,0,0.28,114,3,0,1,4,1,3,2,1,124,530,0.67,0.16,0.12,0.6,0.18,0.03,0.99,0.319,12.0,4.78,686973
Randy V\xc3\xa1squez,27,3,Maj-NL,San Diego,12,12,5.0,3.0,,65.1,62,24,24,18,50,9,3,3.31,244,13,1,1,6,3,6,2,1,269,1055,0.64,0.15,0.1,0.36,0.27,0.07,1.224,0.282,6.9,2.78,681190
Vince Velasquez,34,41,Maj-NL,Chicago,1,0,,,,2.1,1,0,0,0,1,0,0,0.0,8,1,0,0,0,0,0,0,0,8,31,0.71,0.23,0.06,0.14,0.14,0.14,0.429,0.143,3.9,,592826
Justin Verlander,43,67,Maj-AL,Detroit,1,1,,1.0,,3.2,6,5,5,2,1,1,0,12.27,17,1,1,0,0,0,0,0,0,19,80,0.66,0.18,0.08,0.19,0.38,0.06,2.182,0.333,2.5,0.5,434378
Alex Vesia,30,1,Maj-NL,Los Angeles,27,0,1.0,1.0,2.0,21.0,10,5,5,10,28,0,0,2.14,73,0,1,0,0,0,0,0,0,83,368,0.62,0.15,0.15,0.22,0.27,0.07,0.952,0.222,12.0,2.8,681911
Will Vest,31,0,Maj-AL,Detroit,20,0,1.0,4.0,1.0,19.2,21,17,15,8,22,2,0,6.86,79,4,0,0,2,0,1,0,0,88,379,0.64,0.16,0.12,0.6,0.17,0.02,1.475,0.345,10.1,2.75,676684
Jorbit Vivas,25,18,Maj-NL,Washington,1,0,,,,0.2,4,3,3,0,0,0,0,40.5,6,2,0,0,0,0,0,0,0,6,12,0.67,0.08,0.0,0.0,0.5,0.17,6.0,0.667,0.0,,678391
Victor Vodnik,26,18,Maj-NL,Colorado,18,0,1.0,2.0,4.0,18.0,25,17,16,13,16,2,1,8.0,75,5,0,1,1,1,0,1,0,90,336,0.58,0.13,0.11,0.48,0.23,0.07,2.111,0.397,8.0,1.23,680767
Austin Voth,34,7,Maj-AL,Toronto,2,0,,,,6.0,8,6,6,5,1,3,0,9.0,25,1,0,0,0,1,0,0,0,31,119,0.51,0.14,0.07,0.27,0.27,0.12,2.167,0.227,1.5,0.2,608723
Michael Wacha,34,0,Maj-AL,Kansas City,13,13,4.0,4.0,,81.0,66,33,31,26,67,9,3,3.44,296,18,2,1,9,0,3,2,1,327,1174,0.64,0.16,0.1,0.38,0.26,0.08,1.136,0.259,7.4,2.58,608379
Ken Waldichuk,28,54,Maj-NL,Washington,5,0,,,,9.1,8,7,7,6,8,4,1,6.75,34,0,0,0,2,0,0,1,1,41,152,0.59,0.18,0.11,0.42,0.12,0.12,1.5,0.182,7.7,1.33,686610
Matt Waldron,29,22,Maj-NL,San Diego,6,3,1.0,2.0,,23.1,33,22,22,7,22,5,2,8.49,99,7,2,0,2,1,0,0,0,110,399,0.66,0.17,0.08,0.47,0.16,0.09,1.714,0.384,8.5,3.14,663362
Josh Walker,31,20,Maj-AL,Baltimore,3,0,,,,4.0,3,2,2,2,5,1,0,4.5,14,0,0,0,0,0,0,1,0,16,69,0.64,0.2,0.13,0.33,0.0,0.0,1.25,0.25,11.3,2.5,677020
Ryan Walker,30,27,Maj-NL,San Francisco,16,0,,1.0,3.0,15.1,19,12,11,10,14,2,0,6.46,61,1,1,2,1,0,1,1,0,73,295,0.61,0.22,0.06,0.49,0.16,0.02,1.891,0.378,8.2,1.4,676254
Taijuan Walker,33,44,Maj-NL,Philadelphia,5,4,1.0,4.0,,22.2,36,25,23,11,17,8,1,9.13,102,5,1,0,2,1,0,2,3,115,424,0.62,0.17,0.06,0.4,0.22,0.05,2.074,0.359,6.8,1.55,592836
Andrew Wantz,30,6,Maj-AL,Tampa Bay,1,0,,,,1.2,2,5,5,2,1,1,2,27.0,7,0,0,0,0,0,1,0,0,11,54,0.61,0.11,0.04,0.17,0.17,0.33,2.4,0.2,5.4,0.5,681806
Austin Warren,30,4,Maj-NL,New York,15,1,1.0,1.0,,20.1,14,4,3,9,22,1,1,1.33,72,5,0,0,1,1,0,0,0,83,335,0.64,0.22,0.1,0.35,0.37,0.02,1.131,0.26,9.7,2.44,681810
Will Warren,27,5,Maj-AL,New York,12,12,7.0,1.0,,64.1,58,31,23,19,70,7,1,3.22,248,11,0,0,3,2,1,0,2,271,1055,0.63,0.19,0.1,0.41,0.22,0.07,1.197,0.295,9.8,3.68,701542
Ryan Watson,28,2,Maj-AL,Boston,22,0,,,1.0,36.2,37,21,21,16,31,6,2,5.15,143,7,2,0,1,1,1,0,0,164,616,0.63,0.14,0.11,0.37,0.29,0.09,1.445,0.29,7.6,1.94,670245
Beck Way,26,0,Maj-AL,Kansas City,1,0,,,,1.0,1,0,0,0,2,0,0,0.0,4,0,0,0,0,0,0,0,0,4,13,0.69,0.15,0.23,0.5,0.5,0.0,1.0,0.5,18.0,,694360
Ryan Weathers,26,0,Maj-AL,New York,12,12,2.0,4.0,,70.0,61,32,30,20,79,13,0,3.86,264,3,2,0,2,0,1,2,2,285,1117,0.64,0.2,0.11,0.43,0.24,0.06,1.157,0.279,10.2,3.95,677960
Luke Weaver,32,0,Maj-NL,New York,26,0,2.0,1.0,,28.0,19,8,8,8,27,2,1,2.57,100,1,1,0,1,1,0,0,1,111,419,0.67,0.16,0.12,0.44,0.19,0.11,0.964,0.236,8.7,3.38,596133
Jacob Webb,32,2,Maj-NL,Chicago,26,0,1.0,1.0,1.0,25.2,25,10,7,9,32,3,0,2.45,100,2,0,0,2,1,1,1,1,110,465,0.67,0.15,0.16,0.43,0.26,0.06,1.325,0.333,11.2,3.56,657097
Logan Webb,29,2,Maj-NL,San Francisco,10,10,3.0,4.0,,59.1,56,30,28,19,51,4,4,4.25,227,10,2,0,5,0,7,2,0,251,912,0.65,0.17,0.09,0.59,0.24,0.02,1.264,0.302,7.7,2.68,657277
Ryan Weiss,29,32,Maj-AL,Houston,9,2,,3.0,,26.0,35,24,22,20,30,8,0,7.62,111,2,1,0,2,0,1,0,0,131,530,0.61,0.16,0.1,0.33,0.31,0.09,2.115,0.37,10.4,1.5,680802
Greg Weissert,31,3,Maj-AL,Boston,26,0,,1.0,,25.0,25,12,11,8,25,5,1,3.96,97,3,0,1,0,1,0,1,0,108,421,0.65,0.18,0.1,0.42,0.22,0.05,1.32,0.294,9.0,3.13,669711
Tyler Wells,31,1,Maj-AL,Baltimore,22,0,,1.0,,28.1,27,16,13,7,27,4,1,4.13,106,5,1,0,1,2,1,2,1,117,457,0.67,0.16,0.13,0.24,0.27,0.18,1.2,0.299,8.6,3.86,669330
Cameron Weston,25,8,Maj-AL,Baltimore,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,2,0,0,0,1,0,0,0,0,3,17,0.65,0.18,0.06,1.0,0.0,0.0,1.0,0.0,9.0,1.0,687721
Zack Wheeler,36,1,Maj-NL,Philadelphia,8,8,5.0,1.0,,50.2,30,13,13,12,48,6,1,2.31,175,8,0,0,5,1,1,1,0,189,754,0.65,0.14,0.11,0.43,0.2,0.11,0.829,0.197,8.5,4.0,554430
Josh White,25,5,Maj-NL,Miami,1,0,,,,0.2,1,5,5,4,1,1,1,67.5,3,0,0,0,0,0,0,0,0,8,43,0.47,0.19,0.0,0.0,0.0,0.0,7.5,0.0,13.5,0.25,687985
Garrett Whitlock,30,12,Maj-AL,Boston,20,0,3.0,1.0,,19.2,16,8,7,6,25,2,0,3.2,74,4,0,0,0,0,2,0,0,81,319,0.68,0.15,0.15,0.4,0.22,0.14,1.119,0.298,11.4,4.17,676477
Jordan Wicks,26,5,Maj-NL,Chicago,2,2,,2.0,,6.1,13,11,11,1,6,1,1,15.63,32,2,0,0,0,0,1,0,0,34,129,0.67,0.14,0.12,0.42,0.31,0.08,2.211,0.48,8.5,6.0,696136
Joey Wiemer,27,22,Maj-NL,Washington,2,0,,,,2.0,7,5,5,2,0,1,1,22.5,12,1,0,0,0,1,0,0,0,16,45,0.56,0.16,0.0,0.15,0.31,0.08,4.5,0.5,0.0,0.0,686894
Cole Wilcox,26,33,Maj-AL,Seattle,11,0,,,,13.1,17,8,8,12,15,1,2,5.4,55,2,0,1,1,1,2,0,0,70,270,0.64,0.16,0.12,0.44,0.37,0.02,2.175,0.4,10.1,1.25,677961
Devin Williams,31,4,Maj-NL,New York,23,0,3.0,2.0,8.0,20.0,18,12,12,13,31,2,0,5.4,74,5,0,1,1,0,5,2,0,89,360,0.64,0.14,0.19,0.44,0.22,0.07,1.55,0.39,14.0,2.38,642207
Gavin Williams,26,2,Maj-AL,Cleveland,13,13,9.0,3.0,,81.2,63,30,29,25,94,11,2,3.2,297,16,1,0,7,0,6,3,3,324,1240,0.68,0.18,0.14,0.46,0.25,0.06,1.078,0.271,10.4,3.76,668909
Ben Williamson,25,3,Maj-AL,Tampa Bay,2,0,,,,2.0,1,1,1,1,0,1,0,4.5,7,0,0,0,0,0,0,0,0,8,18,0.56,0.17,0.0,0.43,0.14,0.14,1.0,0.0,0.0,0.0,810938
Brandon Williamson,28,37,Maj-NL,Cincinnati,6,6,2.0,3.0,,28.0,26,19,19,20,19,4,3,6.11,102,4,1,0,5,3,0,0,0,128,518,0.58,0.14,0.1,0.34,0.23,0.1,1.643,0.268,6.1,0.95,682227
Weston Wilson,31,18,Maj-AL,Baltimore,3,0,,,,2.1,6,4,4,0,0,2,0,15.43,13,0,0,0,1,0,0,0,0,13,41,0.68,0.27,0.0,0.23,0.23,0.08,2.571,0.364,0.0,,642215
Cole Winn,26,13,Maj-AL,Texas,22,0,2.0,1.0,1.0,19.1,22,12,12,7,23,3,1,5.59,80,4,0,1,0,1,0,0,0,89,335,0.66,0.12,0.15,0.28,0.33,0.03,1.5,0.345,10.7,3.29,668390
Keaton Winn,28,2,Maj-NL,San Francisco,26,0,1.0,1.0,1.0,27.1,16,8,7,8,23,1,0,2.3,93,5,0,1,4,0,0,1,0,102,377,0.67,0.17,0.12,0.46,0.23,0.03,0.878,0.217,7.6,2.88,676775
Grant Wolfram,29,0,Maj-AL,Baltimore,21,0,1.0,1.0,,17.1,23,10,7,1,23,0,3,3.63,74,8,2,1,2,0,0,0,0,78,283,0.67,0.17,0.13,0.49,0.31,0.02,1.385,0.451,11.9,23.0,664991
Bryan Woo,26,0,Maj-AL,Seattle,13,13,5.0,4.0,,76.2,63,34,32,14,75,7,2,3.76,287,9,1,1,3,3,2,0,1,306,1126,0.68,0.14,0.12,0.37,0.21,0.1,1.004,0.269,8.8,5.36,693433
Jake Woodford,29,1,Maj-NL,Milwaukee,16,0,1.0,,1.0,23.1,34,18,18,7,20,3,0,6.94,102,4,1,0,1,2,0,0,0,112,400,0.65,0.19,0.08,0.38,0.32,0.05,1.757,0.383,7.7,2.86,663765
Brandon Woodruff,33,36,Maj-NL,Milwaukee,6,6,2.0,1.0,,30.0,24,13,12,7,25,4,1,3.6,111,5,0,1,1,2,2,1,0,121,414,0.69,0.17,0.11,0.31,0.19,0.1,1.033,0.238,7.5,3.57,605540
Simeon Woods Richardson,25,8,Maj-AL,Minnesota,12,10,,7.0,,47.2,65,46,41,25,26,9,2,7.74,197,15,0,0,8,1,5,2,0,227,861,0.6,0.16,0.07,0.41,0.22,0.09,1.888,0.344,4.9,1.04,680573
Justin Wrobleski,25,1,Maj-NL,Los Angeles,11,10,7.0,2.0,,68.2,55,20,20,14,44,4,2,2.62,257,12,0,0,5,1,0,1,0,274,992,0.67,0.18,0.08,0.38,0.26,0.04,1.005,0.243,5.8,3.14,680736
Yoshinobu Yamamoto,27,5,Maj-NL,Los Angeles,11,11,5.0,4.0,,69.1,54,23,22,15,69,9,3,2.86,251,10,0,0,6,1,2,2,0,270,1063,0.65,0.16,0.13,0.45,0.25,0.04,0.995,0.259,9.0,4.6,808967
Ryan Yarbrough,34,3,Maj-AL,New York,12,0,,,1.0,20.2,15,8,8,8,16,1,2,3.48,77,1,1,1,0,0,3,1,2,87,342,0.65,0.16,0.09,0.39,0.25,0.08,1.113,0.233,7.0,2.0,642232
Kirby Yates,39,0,Maj-AL,Los Angeles,11,0,,2.0,1.0,9.1,8,5,5,4,12,2,1,4.82,36,3,0,0,0,1,2,0,0,42,168,0.66,0.18,0.11,0.36,0.32,0.04,1.286,0.261,11.6,3.0,489446
Trey Yesavage,22,0,Maj-AL,Toronto,8,8,2.0,3.0,,42.2,31,15,15,19,44,2,1,3.16,151,12,0,0,4,1,1,0,0,173,707,0.63,0.13,0.14,0.39,0.25,0.11,1.172,0.274,9.3,2.32,702056
Craig Yoho,26,0,Maj-NL,Milwaukee,1,0,,,,2.0,0,0,0,2,3,0,0,0.0,6,0,0,0,0,0,0,0,0,8,35,0.57,0.14,0.14,0.33,0.0,0.0,1.0,0.0,13.5,1.5,684974
Brandon Young,27,0,Maj-AL,Baltimore,9,9,4.0,1.0,,49.1,49,27,19,17,37,6,1,3.47,191,9,0,0,1,4,2,2,0,214,777,0.65,0.14,0.1,0.37,0.24,0.11,1.338,0.283,6.8,2.18,687064
Ryan Zeferjahn,28,2,Maj-AL,Los Angeles,23,0,2.0,3.0,1.0,27.2,20,20,18,19,32,3,6,5.86,101,5,1,2,2,1,8,0,0,128,539,0.58,0.18,0.1,0.44,0.21,0.1,1.41,0.254,10.4,1.68,666171
Angel Zerpa,26,41,Maj-NL,Milwaukee,12,0,,2.0,2.0,12.2,16,11,9,6,8,2,0,6.39,48,3,0,0,2,0,2,1,1,55,216,0.63,0.22,0.06,0.61,0.2,0.05,1.737,0.368,5.7,1.33,672582
Tyler Zuber,31,0,Maj-NL,Miami,1,0,,,,1.0,1,0,0,1,1,0,0,0.0,4,0,0,0,0,0,0,0,0,5,16,0.63,0.31,0.06,0.33,0.0,0.0,2.0,0.333,9.0,1.0,676604
