Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Joel Kuhnel,31,1,Maj-AL,Athletics,25,0,1.0,2.0,4.0,25.2,27,12,12,6,14,2,2,4.21,98,6,0,0,3,2,1,1,0,108,371,0.63,0.14,0.1,0.49,0.24,0.1,1.286,0.298,4.9,2.33,669270
Peter Lambert,29,0,Maj-AL,Houston,9,9,5.0,4.0,,50.2,39,20,20,25,47,3,4,3.55,184,8,0,0,6,1,1,1,0,214,858,0.62,0.14,0.11,0.43,0.22,0.06,1.263,0.267,8.3,1.88,663567
Alex Lange,30,1,Maj-AL,Kansas City,26,0,,2.0,2.0,28.0,24,14,13,15,28,2,2,4.18,101,7,1,0,2,1,7,2,1,119,494,0.61,0.14,0.14,0.46,0.27,0.0,1.393,0.306,9.0,1.87,656638
Jacob Latz,30,0,Maj-AL,Texas,23,1,1.0,1.0,9.0,29.0,12,6,6,6,29,2,0,1.86,99,5,0,0,0,1,1,0,0,106,453,0.65,0.16,0.13,0.42,0.11,0.13,0.621,0.145,9.0,4.83,656641
Eric Lauer,31,3,"Maj-AL,Maj-NL","Los Angeles,Toronto",10,8,2.0,5.0,,47.0,47,30,30,18,31,13,0,5.74,183,5,1,0,0,2,2,1,0,204,768,0.65,0.15,0.07,0.29,0.23,0.09,1.383,0.241,5.9,1.72,641778
Cody Laweryson,28,2,Maj-AL,Minnesota,7,0,,,1.0,8.1,6,7,6,3,11,1,2,6.48,31,3,0,0,0,1,1,0,0,37,137,0.66,0.2,0.07,0.43,0.33,0.1,1.08,0.25,11.9,3.67,689520
Justin Lawrence,31,1,"Maj-AL,Maj-NL","Minnesota,Pittsburgh",25,0,,2.0,,23.2,23,20,13,15,28,4,6,4.94,96,6,1,1,2,0,1,0,0,117,434,0.61,0.17,0.11,0.43,0.28,0.09,1.606,0.297,10.6,1.87,664875
Kyle Leahy,29,0,Maj-NL,St. Louis,12,12,5.0,3.0,,59.0,69,29,29,24,47,8,4,4.42,239,11,1,0,5,0,5,2,0,269,1024,0.62,0.17,0.08,0.45,0.29,0.03,1.576,0.332,7.2,1.96,681517
Jordan Leasure,27,8,Maj-AL,Chicago,18,1,2.0,1.0,,18.2,15,14,13,8,18,6,0,6.27,69,2,0,1,0,1,2,0,0,78,313,0.63,0.11,0.13,0.23,0.17,0.1,1.232,0.196,8.7,2.25,673929
Chase Lee,27,12,Maj-AL,Toronto,3,0,,,,3.1,2,3,3,4,1,2,0,8.1,11,0,0,0,1,0,1,0,0,15,56,0.52,0.21,0.05,0.5,0.1,0.0,1.8,0.0,2.7,0.25,695445
Dylan Lee,31,0,Maj-NL,Atlanta,30,0,2.0,,,29.2,14,5,4,4,36,1,0,1.21,102,2,3,0,0,1,0,0,0,107,433,0.69,0.15,0.19,0.34,0.24,0.1,0.607,0.197,10.9,9.0,669276
