season,week,team,off_epa_per_play,off_pass_epa_per_play,off_rush_epa_per_play,def_epa_per_play,off_epa_per_play_4w,def_epa_per_play_4w,off_pass_epa_per_play_4w,off_rush_epa_per_play_4w,off_epa_per_play_8w,def_epa_per_play_8w,off_pass_epa_per_play_8w,off_rush_epa_per_play_8w
2024,3,ATL,-0.034978986,0.17141856,-0.34457532,0.10633402,-0.1372020561248064,0.0718747116625309,-0.054904788732528687,-0.2520290119573474,-0.10961973888333887,-0.05234768055379391,0.01482964656315744,-0.24068241436907556
2024,4,ATL,-0.029200371,-0.0753581,0.08619398,0.04793833,-0.12776369974017143,0.07303437404334545,0.009226521477103233,-0.3260221900418401,-0.08932502416428179,0.0029260339215397835,0.04725039261393249,-0.24581574519106653
2024,5,ATL,0.19906478,0.3381058,-0.25281855,0.13387299,-0.05617318581789732,0.02958852518349886,0.010428206995129585,-0.1408399911597371,-0.09481434943154454,0.011789028067141771,0.03456610534340143,-0.23408967191062402
2024,6,ATL,0.3062599,0.29004118,0.32062507,-0.08656442,0.07352610025554895,0.09322975855320692,0.17425004579126835,-0.12322431523352861,-0.035381647292524576,0.04876229027286172,0.05730797257274389,-0.19012303212366533
2024,7,ATL,-0.09490625,-0.19445656,0.036757085,0.17774087,0.11028632987290621,0.050395228900015354,0.18105185963213444,-0.04764370620250702,-0.013457863125950098,0.06113497028127313,0.06307353544980288,-0.1498363590799272
2024,8,ATL,0.24303913,0.5151638,-0.06661994,0.049922198,0.0953045142814517,0.06824694108217955,0.08958307839930058,0.04768939409404993,-0.016229592729359865,0.0706406575627625,0.049404799938201904,-0.13916639797389507
2024,9,ATL,0.079976566,0.2760864,-0.10912932,-0.030440597,0.16336438991129398,0.06874290853738785,0.23721354827284813,0.009485914371907711,0.05359560204669833,0.049165716860443354,0.12382087763398886,-0.0656770383939147
2024,10,ATL,0.094481766,0.034483355,0.17212677,-0.02086381,0.13359233736991882,0.027664512861520052,0.22170869633555412,0.04540822375565767,0.10355921881273389,0.060447135707363486,0.19797937106341124,-0.03890804573893547
2024,11,ATL,-0.252395,-0.09929905,-0.5029156,0.32551944,0.08064780384302139,0.04408966563642025,0.15781924035400152,0.008283649571239948,0.0954670668579638,0.0472424472682178,0.16943554999306798,-0.019680028315633535
2024,13,ATL,-0.16426513,-0.17409755,-0.15313897,-0.28624597,0.041275614872574806,0.08103430829942226,0.1816086182370782,-0.12663452699780464,0.06829006457701325,0.0746406246908009,0.13559584831818938,-0.039472566451877356
